time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2022-07-08 09:30:00-04:00,MLTrader,a84cfd9e4a6e4bd887c217fd0a1b544e,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,a84cfd9e4a6e4bd887c217fd0a1b544e,SPY,buy,market,fill,1,gtc,0.0,1,stock,387.2699890136719,129.0,0.0
2022-07-15 09:30:00-04:00,MLTrader,79266e6b569b450f894b73274ef82e73,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2022-07-15 09:30:00-04:00,MLTrader,3df70f23c53243819ad4a3c2bef9279a,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-07-15 09:30:00-04:00,MLTrader,5d2570c4b6b04f19843bde8379b2ae42,SPY,sell,market,new,1,day,0.0,1,stock,,,
2022-07-15 09:30:00-04:00,MLTrader,1008988761e14dcbace5c596ce7bdcd2,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-07-15 09:30:00-04:00,MLTrader,5d2570c4b6b04f19843bde8379b2ae42,SPY,sell,market,fill,1,day,0.0,1,stock,382.54998779296875,129.0,0.0
2022-07-15 09:30:00-04:00,MLTrader,1008988761e14dcbace5c596ce7bdcd2,SPY,sell,market,fill,1,gtc,0.0,1,stock,382.54998779296875,65.0,0.0
2022-07-27 09:30:00-04:00,MLTrader,ee9cb18406664c4f98da196a0838eb0a,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-27 09:30:00-04:00,MLTrader,730edf84cc7e4f38bba1c8bdb02cca88,SPY,buy,stop,fill,1,day,0.0,1,stock,401.6774871826172,65.0,0.0
2022-09-07 09:30:00-04:00,MLTrader,a5aa5f814f0c41b2afe78a2f58acfd31,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-09-07 09:30:00-04:00,MLTrader,a5aa5f814f0c41b2afe78a2f58acfd31,SPY,sell,market,fill,1,gtc,0.0,1,stock,390.42999267578125,126.0,0.0
2022-09-08 09:30:00-04:00,MLTrader,c1f504a19c5e44448b50d7004598f9c0,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-09-08 09:30:00-04:00,MLTrader,ed1d396783a7432a8b9229ea68833e28,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-09-08 09:30:00-04:00,MLTrader,fbd914a941064eef9edebbeb7a77bf2e,SPY,buy,market,new,1,day,0.0,1,stock,,,
2022-09-08 09:30:00-04:00,MLTrader,4e60b69e999e47b2813a0e8883bd14f8,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-09-08 09:30:00-04:00,MLTrader,fbd914a941064eef9edebbeb7a77bf2e,SPY,buy,market,fill,1,day,0.0,1,stock,395.3900146484375,126.0,0.0
2022-09-08 09:30:00-04:00,MLTrader,4e60b69e999e47b2813a0e8883bd14f8,SPY,buy,market,fill,1,gtc,0.0,1,stock,395.3900146484375,186.0,0.0
2022-09-12 09:30:00-04:00,MLTrader,5dcb6f44555b45e9a28dd2d142fd67e3,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-09-12 09:30:00-04:00,MLTrader,5dcb6f44555b45e9a28dd2d142fd67e3,SPY,buy,market,fill,1,gtc,0.0,1,stock,408.7799987792969,29.0,0.0
2022-09-16 09:30:00-04:00,MLTrader,db8b23d04eb6436aabd815adb0b6b8b3,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2022-09-16 09:30:00-04:00,MLTrader,6407bec1971f445c883bf81482439e32,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-09-16 09:30:00-04:00,MLTrader,7cea6e96e3124d918376e66c7a632367,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2022-09-16 09:30:00-04:00,MLTrader,4001574f39d24c69914d9c84ace8320b,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-09-16 09:30:00-04:00,MLTrader,e7b1538a538543918fd120f37dc35013,SPY,sell,market,new,1,day,0.0,1,stock,,,
2022-09-16 09:30:00-04:00,MLTrader,d41d7db7ab7645618b26c6dd4d1481bf,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-09-16 09:30:00-04:00,MLTrader,e7b1538a538543918fd120f37dc35013,SPY,sell,market,fill,1,day,0.0,1,stock,384.1400146484375,215.0,0.0
2022-09-16 09:30:00-04:00,MLTrader,d41d7db7ab7645618b26c6dd4d1481bf,SPY,sell,market,fill,1,gtc,0.0,1,stock,384.1400146484375,16.0,0.0
2022-09-27 09:30:00-04:00,MLTrader,84244738bb1c40d499cc36087764a78f,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-09-27 09:30:00-04:00,MLTrader,84244738bb1c40d499cc36087764a78f,SPY,sell,market,fill,1,gtc,0.0,1,stock,368.0199890136719,137.0,0.0
2022-09-28 09:30:00-04:00,MLTrader,c53a21ee4e044871b5c9f1fd6c3f6488,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-09-28 09:30:00-04:00,MLTrader,c53a21ee4e044871b5c9f1fd6c3f6488,SPY,sell,market,fill,1,gtc,0.0,1,stock,364.3800048828125,208.0,0.0
