datetime,portfolio_value,cash,return
2022-06-23 09:30:00-04:00,100000.0,100000.0,
2022-06-24 09:30:00-04:00,100000.0,100000.0,0.0
2022-06-25 09:30:00-04:00,100000.0,100000.0,0.0
2022-06-27 09:30:00-04:00,100000.0,100000.0,0.0
2022-06-28 09:30:00-04:00,100000.0,100000.0,0.0
2022-06-29 09:30:00-04:00,100000.0,100000.0,0.0
2022-06-30 09:30:00-04:00,100000.0,100000.0,0.0
2022-07-01 09:30:00-04:00,100000.0,100000.0,0.0
2022-07-02 09:30:00-04:00,100000.0,100000.0,0.0
2022-07-05 09:30:00-04:00,100000.0,100000.0,0.0
2022-07-06 09:30:00-04:00,100000.0,100000.0,0.0
2022-07-07 09:30:00-04:00,100000.0,100000.0,0.0
2022-07-08 09:30:00-04:00,100000.0,100000.0,0.0
2022-07-09 09:30:00-04:00,100000.0,50042.17141723633,0.0
2022-07-11 09:30:00-04:00,99816.82220458984,50042.17141723633,-0.00183177795410161
2022-07-12 09:30:00-04:00,99533.02062988281,50042.17141723633,-0.002843223901932479
2022-07-13 09:30:00-04:00,98430.07220458984,50042.17141723633,-0.011081231317135676
2022-07-14 09:30:00-04:00,98237.85952758789,50042.17141723633,-0.0019527840699175014
2022-07-15 09:30:00-04:00,99391.1198425293,50042.17141723633,0.011739469085414456
2022-07-16 09:30:00-04:00,99391.1198425293,124256.86904907227,0.0
2022-07-18 09:30:00-04:00,99012.16873168945,124256.86904907227,-0.003812726040719139
2022-07-19 09:30:00-04:00,99161.669921875,124256.86904907227,0.0015099274372090132
2022-07-20 09:30:00-04:00,98746.31896972656,124256.86904907227,-0.0041886240164740185
2022-07-21 09:30:00-04:00,98636.46881103516,124256.86904907227,-0.001112448138194222
2022-07-22 09:30:00-04:00,98327.06817626953,124256.86904907227,-0.003136777284255432
2022-07-23 09:30:00-04:00,98327.06817626953,124256.86904907227,0.0
2022-07-25 09:30:00-04:00,98533.11904907227,124256.86904907227,0.002095566120545289
2022-07-26 09:30:00-04:00,98657.26928710938,124256.86904907227,0.0012599848582413031
2022-07-27 09:30:00-04:00,98623.4700012207,124256.86904907227,-0.0003425929597778987
2022-07-28 09:30:00-04:00,98147.83238220215,98147.83238220215,-0.004822762969227012
2022-07-29 09:30:00-04:00,98147.83238220215,98147.83238220215,0.0
