datetime,portfolio_value,cash,return
2024-04-23 09:30:00-04:00,100000.0,100000.0,
2024-04-24 09:30:00-04:00,100000.0,100000.0,0.0
2024-04-25 09:30:00-04:00,100000.0,100000.0,0.0
2024-04-26 09:30:00-04:00,100000.0,100000.0,0.0
2024-04-27 09:30:00-04:00,100000.0,100000.0,0.0
2024-04-29 09:30:00-04:00,100000.0,100000.0,0.0
2024-04-30 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-01 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-02 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-03 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-04 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-06 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-07 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-08 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-09 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-10 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-11 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-13 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-14 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-15 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-16 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-17 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-18 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-20 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-21 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-22 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-23 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-24 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-25 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-28 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-29 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-30 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-31 09:30:00-04:00,100000.0,100000.0,0.0
2024-06-01 09:30:00-04:00,100000.0,100000.0,0.0
2024-06-03 09:30:00-04:00,100000.0,100000.0,0.0
2024-06-04 09:30:00-04:00,100000.0,100000.0,0.0
2024-06-05 09:30:00-04:00,100000.0,100000.0,0.0
2024-06-06 09:30:00-04:00,100000.0,100000.0,0.0
2024-06-07 09:30:00-04:00,100000.0,100000.0,0.0
2024-06-08 09:30:00-04:00,100000.0,100000.0,0.0
2024-06-10 09:30:00-04:00,100000.0,100000.0,0.0
2024-06-11 09:30:00-04:00,100000.0,100000.0,0.0
2024-06-12 09:30:00-04:00,100000.0,100000.0,0.0
2024-06-13 09:30:00-04:00,100000.0,100000.0,0.0
2024-06-14 09:30:00-04:00,100000.0,100000.0,0.0
2024-06-15 09:30:00-04:00,100000.0,50239.03955078125,0.0
2024-06-17 09:30:00-04:00,100110.40112304688,50239.03955078125,0.001104011230468771
2024-06-18 09:30:00-04:00,100577.75708007812,50239.03955078125,0.004668405598103886
2024-06-19 09:30:00-04:00,100577.75708007812,50239.03955078125,0.0
2024-06-20 09:30:00-04:00,100787.51977539062,50239.03955078125,0.0020855773821391033
2024-06-21 09:30:00-04:00,100323.841796875,50239.03955078125,-0.004600549547691513
2024-06-22 09:30:00-04:00,100323.841796875,50239.03955078125,0.0
