time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-06-29 09:30:00-04:00,MLTrader,f137a6e11dae4aa7b0684957a83626c5,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-29 09:30:00-04:00,MLTrader,f137a6e11dae4aa7b0684957a83626c5,SPY,sell,market,fill,1,gtc,0.0,1,stock,435.9599914550781,115.0,0.0
2023-07-27 09:30:00-04:00,MLTrader,c576ec2cf5a84c9c91dfca5a55bf6772,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-07-27 09:30:00-04:00,MLTrader,9d6446c530bb4258a92c77c22a1597cd,SPY,buy,stop,fill,1,day,0.0,1,stock,459.0199890136719,115.0,0.0
2023-08-01 09:30:00-04:00,MLTrader,f49210970c2242d6928a7b761c3166a6,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-01 09:30:00-04:00,MLTrader,f49210970c2242d6928a7b761c3166a6,SPY,sell,market,fill,1,gtc,0.0,1,stock,456.2699890136719,107.0,0.0
2023-08-11 09:30:00-04:00,MLTrader,97c67d6bb1284c3c8c51deb525bec8a7,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-11 09:30:00-04:00,MLTrader,97c67d6bb1284c3c8c51deb525bec8a7,SPY,sell,market,fill,1,gtc,0.0,1,stock,443.9700012207031,165.0,0.0
2023-08-21 09:30:00-04:00,MLTrader,a267452762114f2a98ad88c543f62980,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-21 09:30:00-04:00,MLTrader,a267452762114f2a98ad88c543f62980,SPY,sell,market,fill,1,gtc,0.0,1,stock,437.54998779296875,251.0,0.0
2023-09-08 09:30:00-04:00,MLTrader,2a0a964b8baf488ebbd3f4f5f811983d,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-09-08 09:30:00-04:00,MLTrader,2a0a964b8baf488ebbd3f4f5f811983d,SPY,sell,market,fill,1,gtc,0.0,1,stock,444.8999938964844,370.0,0.0
2023-11-02 09:30:00-04:00,MLTrader,30be1baf18fd44fa9dc0f49e876ebdd9,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-02 09:30:00-04:00,MLTrader,30be1baf18fd44fa9dc0f49e876ebdd9,SPY,sell,market,fill,1,gtc,0.0,1,stock,426.5799865722656,577.0,0.0
2023-11-13 09:30:00-05:00,MLTrader,ef03dba7a383438b9734d691a081ce20,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-13 09:30:00-05:00,MLTrader,ef03dba7a383438b9734d691a081ce20,SPY,sell,market,fill,1,gtc,0.0,1,stock,439.2300109863281,841.0,0.0
2023-11-14 09:30:00-05:00,MLTrader,3b671f8da77941f3bbe8d6b572c40b4c,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-14 09:30:00-05:00,MLTrader,693aee57ff014024ae1bfd59f797fe56,SPY,buy,stop,fill,1,day,0.0,1,stock,447.9089859008789,577.0,0.0
2023-11-16 09:30:00-05:00,MLTrader,72980d66d7d64cdba6f1705492595932,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,ef5304a424ad48fc81e43cc7f590fe5b,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,9e6bb62dcb5f4fefbb69e4250665a0d7,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,1408ab362fe041ac9d4409ea658e09ac,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,9d4e3c69c35b49d7a007df5737f51467,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,f6a86a4a45414a3dba32d361da1e8afd,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,886b752bb5b442768b0c7f783f36caf9,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,fc1d811eec6e4b59a35b80b357f2b94c,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,60195e55ad084c9d98249c78f6b80f46,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,b70df6d4c47f4fd2b1d1503ce6a9c304,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,5f5a639d56fa4a0bbabe6e92f0fd5edd,SPY,buy,market,new,1,day,0.0,1,stock,,,
